Avail_Cu,Avail_Mn,pH,EC,OC,Avail_P,Exch_K,Avail_Ca,Avail_Mg,Avail_S,Avail_Zn,Avail_B,Avail_Fe,Crop_type
0.67,4.17,8.3,0.21,0.2,2.31,35,3048,52,4.14,0.23,0.21,1.79,horsegram
0.45,9.2,6.4,0.06,0.22,6.08,76,511,84,1.45,0.36,0.22,22.26,horsegram
0.92,14.97,6.0,0.08,0.19,4.73,80,657,84,5.66,0.26,0.2,13.15,horsegram
0.47,27.19,6.6,0.2,0.39,2.56,66,1050,239,12.03,0.41,0.33,5.79,horsegram
1.09,9.11,7.82,0.22,0.43,3.38,63,2322,161,5.58,0.31,0.53,2.27,horsegram
0.4,3.66,8.37,0.14,0.16,2.14,44,1650,63,2.06,0.14,0.25,1.49,horsegram
0.46,2.67,8.2,0.13,0.17,3.99,50,1382,104,2.32,0.18,0.29,2.09,horsegram
0.49,6.1,8.04,0.23,0.45,1.39,55,3003,187,6.66,0.14,0.33,2.93,horsegram
0.66,6.66,8.22,0.22,0.21,1.73,61,3204,202,4.96,0.26,0.27,2.66,horsegram
0.61,13.57,7.33,0.27,0.29,3.13,53,2277,90,6.78,0.28,0.29,7.3,horsegram
0.53,6.69,8.3,0.17,0.25,9.22,68,1964,59,2.02,0.46,0.33,3.19,horsegram
0.7,9.92,6.37,0.1,0.13,1.58,60,742,268,3.23,0.29,0.24,4.02,horsegram
0.36,1.84,8.54,0.15,0.06,2.02,49,3182,117,3.62,0.15,0.26,2.66,horsegram
0.78,8.64,8.44,0.22,0.19,10.47,84,3151,167,12.71,0.21,0.38,2.21,horsegram
0.76,10.21,6.55,0.11,0.23,1.42,62,766,290,3.22,0.4,0.27,4.82,horsegram
0.65,16.98,5.35,0.1,0.26,7.03,41,676,88,12.81,0.3,0.26,15.81,horsegram
0.14,0.07,7.0,0.71,0.39,51.6,87,1344,348,76.86,0.09,1.0,0.11,horsegram
1.74,8.26,6.19,0.06,0.23,4.2,45,929,223,2.77,0.68,0.29,25.68,horsegram
0.85,10.59,6.8,0.92,0.4,84.4,116,1152,320,62.91,1.57,0.69,8.69,horsegram
0.97,10.1,6.55,0.11,0.36,8.2,62,922,220,6.03,0.8,0.49,20.6,horsegram
1.08,12.13,7.92,0.07,0.32,12.6,62,834,141,3.47,0.48,0.26,5.3,horsegram
1.3,11.44,7.88,0.2,0.57,36.2,67,1605,328,19.84,2.41,0.34,13.55,horsegram
1.15,2.58,8.65,0.62,0.55,12.27,51,873,522,25.9,0.68,1.61,9.37,horsegram
1.22,2.39,8.66,0.59,0.55,11.9,48,874,525,27.63,0.95,1.68,9.18,horsegram
1.14,6.55,8.36,0.21,0.7,18.77,184,2052,636,9.73,0.81,1.48,7.92,horsegram
2.12,8.36,7.95,0.75,0.68,15.75,111,2134,478,39.18,0.49,0.84,10.75,horsegram
0.88,7.78,7.5,0.08,0.21,9.8,59,313,207,2.31,0.38,0.37,4.19,horsegram
3.2,3.51,8.55,0.28,0.95,31.41,111,1944,469,9.55,1.05,1.79,25.42,horsegram
1.11,10.66,9.38,0.05,0.26,15.43,61,686,388,1.84,0.27,0.22,13.56,horsegram
0.91,6.14,8.12,0.07,0.23,21.33,93,744,365,1.4,0.43,0.52,2.45,horsegram
0.86,5.85,8.2,0.17,0.69,20.01,197,1455,843,6.21,1.13,1.38,5.01,horsegram
1.71,5.66,8.76,1.16,0.74,33.76,171,1692,440,60.29,3.27,2.08,27.11,horsegram
1.26,3.38,8.91,1.09,0.37,14.69,61,1347,273,110.05,1.36,1.41,8.41,horsegram
1.24,16.14,7.72,0.07,0.29,13.08,103,697,243,2.82,1.16,0.43,4.81,horsegram
1.33,17.76,7.7,0.08,0.33,13.75,104,715,250,3.09,1.2,0.49,4.59,horsegram
1.25,35.32,7.82,0.18,0.48,28.42,144,962,286,8.96,1.91,0.89,4.8,horsegram
0.53,7.61,8.5,0.12,0.32,6.4,110,1621,240,4.03,0.41,0.93,2.08,horsegram
0.55,9.76,8.41,0.1,0.3,5.31,115,1578,235,3.79,0.83,0.95,1.92,horsegram
0.47,6.19,8.54,0.12,0.25,5.4,107,1582,233,3.31,0.42,0.83,1.87,horsegram
0.57,9.14,8.37,0.11,0.29,5.12,113,1564,234,2.83,0.44,0.87,2.17,horsegram
0.49,6.42,8.45,0.12,0.31,4.58,114,1646,240,4.82,0.4,0.97,1.48,horsegram
0.45,6.99,8.33,0.11,0.22,4.51,113,1662,252,3.28,0.39,0.99,1.32,horsegram
2.03,22.73,7.0,0.07,0.37,3.62,135,1677,391,3.58,0.47,0.35,7.16,horsegram
2.32,10.74,8.25,0.5,0.45,12.47,147,2907,804,30.22,0.59,0.91,12.23,horsegram
1.36,15.88,8.37,0.34,0.57,27.55,280,3034,671,35.69,0.48,1.09,4.16,horsegram
0.54,7.01,8.46,0.11,0.3,5.74,109,1577,228,3.88,0.44,0.77,1.61,horsegram
0.78,4.84,7.92,0.06,0.18,5.37,63,883,95,1.91,0.24,0.25,2.77,horsegram
1.09,4.88,9.05,0.24,0.22,6.47,195,2264,385,7.2,0.23,0.74,3.99,horsegram
0.8,5.0,9.05,0.26,0.16,3.74,147,1978,350,7.55,0.26,0.58,3.36,horsegram
1.97,8.07,8.71,0.84,0.78,10.34,137,2017,469,61.52,1.55,2.03,17.42,horsegram
0.55,6.88,7.65,0.08,0.27,3.17,127,863,243,2.59,0.21,0.54,3.07,horsegram
0.55,1.6,9.41,0.04,0.02,1.09,159,2129,573,9.43,0.11,0.48,2.23,horsegram
